patternName,concurrency,memorySize,averageRps,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
debug1,10,2240.0,5.41,657.5625,340,9,288.88035,300.6,5.41,8.37211461318,15.311
debug1,2,2240.0,2.9,232.96875,175,1,101.93057,106.5,2.9,7.79100568182,15.155
highwave20,20,1728.0,9.28,13838.5125,11311,20,7450.93183,8200.6,11.86,7.99422769394,29.879
kill15,4,2496.0,4.65,5316.91875,4241,3,1956.84188,2181.3,4.76,7.76253652215,15.198
medwave20,40,1728.0,8.11,12715.65,9904,39,6829.02646,7535.2,9.46,7.95186241577,15.275
med15,8,2752.0,9.19,10955.59375,8354,7,3510.03908,4076.5,9.53,7.84724147829,15.325
debug1,6,1728.0,5.08,493.93125,315,5,272.33052,292.7,5.09,8.417090625,15.142
med15,6,2752.0,9.15,10907.75625,8325,5,3478.56617,4058.7,9.49,7.79040336134,15.237
med15,30,1984.0,9.14,10501.44375,8357,29,4985.14251,5420.1,9.51,7.70481409492,15.295
highwave20,4,1216.0,3.93,5512.25625,4892,3,4468.41244,4641.9,4.15,7.78489050051,15.328
med15,15,3008.0,9.19,10562.075,8356,14,3360.70297,3595.6,9.49,7.9214655914,16.359
ramp20,8,1216.0,7.9,10961.45625,9774,7,8915.62809,9230.7,8.28,7.74250158471,15.453
ramp20,20,3008.0,10.3,15627.79375,12488,19,4957.86854,5320.1,11.89,7.89608891021,15.662
high15,4,2752.0,8.25,9824.15625,7498,4,3139.74062,3655.5,8.68,7.68629765396,15.191
kill15,2,3008.0,4.45,4878.30625,4036,1,1546.68155,1660.7,4.66,7.64480951201,16.124
ramp20,30,1472.0,10.18,15102.6625,12448,29,9747.04288,10506.2,11.81,7.85813913601,15.32
high15,30,1984.0,11.33,12818.1125,10357,29,6094.03859,6615.8,11.86,7.90469574427,15.335
ramp20,-1,2240.0,10.28,17032.53125,12570,100,7500.75739,7786.3,11.88,7.81868287293,15.292
