patternName,concurrency,memorySize,averageRps,rpsScore,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
kill15,12,2752.0,4.66,0.97,5879.44375,4251,11,1905.77811,2187.7,4.78,7.79784936649,15.46
ramp20,14,1984.0,10.24,0.91,14962.925,12466,15,7136.90909,7722.8,11.83,7.87575282429,16.045
med15,4,2240.0,6.98,0.12,7386.96875,6364,4,3219.90066,3376.9,7.34,7.74197393216,15.316
highwave20,8,1216.0,7.39,0.65,10292.18125,9133,7,8342.80125,8667.1,8.33,7.83006389497,15.708
highwave20,5,1216.0,4.96,0.26,6849.14375,6127,4,5565.22737,5767.7,5.26,7.80304110259,15.962
med15,5,1728.0,6.59,-0.02,7246.8,6021,4,3890.03509,4294.4,6.81,7.71938439834,17.66
med15,13,1984.0,9.13,0.89,10112.78125,8336,14,4826.75568,5219.5,9.51,7.83365664671,15.665
ramp20,2,2496.0,3.78,-0.3,5676.9375,4600,1,2086.68575,2329.0,3.95,7.70068224299,15.46
ramp20,15,2752.0,10.31,0.93,16937.7,12505,16,5356.39351,6302.4,11.91,7.78749492852,15.989
ramp20,16,3008.0,10.32,0.93,15667.45,12505,16,4993.48621,5333.6,11.93,7.85225125789,15.459
high15,10,3008.0,11.41,0.97,12772.25,10372,9,4030.56505,4348.0,11.91,7.97607475195,15.322
ramp20,20,2496.0,10.29,0.92,15962.94375,12505,20,5891.38632,6548.9,11.89,7.89453285429,15.523
ramp20,17,1472.0,10.16,0.89,14862.16875,12440,19,9620.22484,10338.9,11.79,7.86250349145,16.148
highwave20,12,1472.0,9.23,0.94,13375.21875,11312,11,8658.45387,9304.5,11.83,7.80587989049,15.705
ramp20,2,2240.0,3.58,-0.3,5077.625,4354,1,2190.38925,2321.2,3.75,7.66386727899,15.275
high15,6,1984.0,9.4,0.73,10183.8875,8567,6,4862.05754,5256.2,9.83,7.75858520938,16.123
ramp20,4,2240.0,7.1,0.01,9894.71875,8630,4,4304.59385,4523.3,7.43,7.69520384526,16.677
kill15,4,2752.0,4.66,0.97,5375.26875,4245,3,1762.20038,2000.1,4.76,7.79602777778,16.057
highwave20,13,3008.0,9.35,0.96,14025.09375,11342,12,4457.90316,4774.5,11.89,7.94265659679,15.526
highwave20,16,3008.0,9.38,0.97,14300.3375,11380,15,4561.34385,4868.2,11.91,7.89930759105,15.353
high15,18,2240.0,11.36,0.96,12368.125,10347,19,5382.61514,5654.0,11.88,7.79071338993,16.145
highwave20,4,1472.0,4.71,0.22,6720.8875,5754,3,4347.05544,4675.4,4.96,7.62739464999,15.208
high15,10,1216.0,9.66,0.76,10124.98125,8952,9,8225.40885,8526.3,10.23,7.7618151992,17.082
kill15,13,1728.0,4.6,0.96,5325.075,4225,12,2872.03815,3155.6,4.73,7.75373707812,15.457
highwave20,2,1728.0,2.82,-0.08,4103.83125,3441,1,2233.06369,2431.9,2.95,7.72299767577,15.232
kill15,12,1984.0,4.64,0.97,5250.625,4239,11,2512.34062,2710.0,4.76,7.82665270588,15.621
high15,13,2496.0,11.36,0.96,12994.06875,10348,12,4746.31149,5330.9,11.91,7.8961030888,15.431
kill15,13,3008.0,4.68,0.97,5569.20625,4265,12,1772.48785,1895.9,4.76,8.02732288988,15.892
ramp20,3,1472.0,3.56,-0.3,5078.25625,4353,2,3280.52021,3532.7,3.76,7.72678920781,15.3
ramp20,12,1728.0,10.21,0.9,15076.125,12447,11,8138.26108,8934.0,11.84,7.87662803018,15.399
kill15,5,1984.0,4.65,0.97,5046.4125,4238,4,2370.49126,2604.6,4.75,7.7517378595,15.903
highwave20,18,3008.0,9.39,0.97,14625.225,12031,20,4598.04332,4978.8,11.89,7.79389561032,15.293
highwave20,4,2496.0,7.26,0.63,10952.90625,8813,4,4007.45414,4493.5,7.84,7.65477600091,15.197
kill15,4,1984.0,4.64,0.97,5055.90625,4237,3,2421.12959,2609.5,4.76,7.74541014151,15.874
kill15,5,2752.0,4.66,0.97,5614.45625,4248,4,1796.52646,2089.1,4.76,7.71205103481,15.202
ramp20,19,1216.0,10.09,0.87,14247.8625,12421,21,11594.47265,11998.2,11.73,7.78958455232,16.307
high15,14,1984.0,11.35,0.96,12501.71875,10358,13,5956.06323,6452.5,11.88,7.81780242985,16.159
highwave20,10,3008.0,9.36,0.96,14032.14375,11346,11,4445.39999,4776.9,11.91,7.91448076076,16.388
med15,3,2752.0,6.2,-0.16,7447.0625,5638,2,2340.09995,2771.0,6.48,7.71195301418,15.339
ramp20,10,2496.0,10.29,0.92,15685.55625,12496,9,5748.23199,6435.1,11.86,7.91394930028,15.739
